cust_id,lookalikes
C0001,"[('C0048', 0.9996), ('C0190', 0.9989), ('C0184', 0.9975)]"
C0002,"[('C0088', 0.9974), ('C0092', 0.9945), ('C0106', 0.994)]"
C0003,"[('C0031', 0.9957), ('C0076', 0.9951), ('C0052', 0.9941)]"
C0004,"[('C0087', 0.9959), ('C0155', 0.9941), ('C0169', 0.9927)]"
C0005,"[('C0186', 0.9998), ('C0007', 0.9992), ('C0115', 0.9973)]"
C0006,"[('C0168', 0.9988), ('C0187', 0.9972), ('C0011', 0.9969)]"
C0007,"[('C0115', 0.9994), ('C0005', 0.9992), ('C0186', 0.9984)]"
C0008,"[('C0065', 0.984), ('C0059', 0.9828), ('C0160', 0.9553)]"
C0009,"[('C0198', 0.997), ('C0061', 0.9945), ('C0062', 0.9896)]"
C0010,"[('C0111', 0.9947), ('C0103', 0.9905), ('C0061', 0.9888)]"
C0011,"[('C0137', 0.999), ('C0174', 0.9986), ('C0191', 0.9983)]"
C0012,"[('C0195', 0.9974), ('C0163', 0.9974), ('C0113', 0.9968)]"
C0013,"[('C0108', 0.9977), ('C0099', 0.9975), ('C0107', 0.9813)]"
C0014,"[('C0060', 0.9999), ('C0089', 0.9801), ('C0166', 0.9469)]"
C0015,"[('C0131', 0.9937), ('C0036', 0.9922), ('C0094', 0.9828)]"
C0016,"[('C0183', 0.9992), ('C0067', 0.9951), ('C0030', 0.9948)]"
C0017,"[('C0041', 0.9948), ('C0075', 0.9935), ('C0057', 0.9907)]"
C0018,"[('C0046', 0.9921), ('C0122', 0.9918), ('C0117', 0.9911)]"
C0019,"[('C0081', 0.9953), ('C0064', 0.9905), ('C0135', 0.9883)]"
C0020,"[('C0050', 0.973), ('C0035', 0.9577), ('C0026', 0.9438)]"
